Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
1,Antonio Adán,GK,Atlético Madrid,0.3,0,0.0,0.0,0,4,6,66.7,0,0,0,2,2,100.0,2,4,50.0,0,0,0,0,0
2,Aritz Aduriz,FWD,Athletic Bilbao,2.0,0,0.0,0.0,0,32,54,59.3,0,1,0.0,31,46,67.4,1,7,14.3,0,0,3,0,0
3,Lumor Agbenyenu,DEF,Mallorca,15.9,0,1.1,-1.1,12,568,773,73.5,10,43,23.3,475,577,82.3,83,153,54.2,1,0,40,18,10
4,Martin Agirregabiria,DEF,Alavés,16.5,1,0.5,+0.5,8,526,734,71.7,8,36,22.2,441,532,82.9,77,166,46.4,1,1,25,5,1
5,Joseph Aidoo,DEF,Celta Vigo,19.7,1,0.9,+0.1,1,779,876,88.9,4,15,26.7,489,530,92.3,286,331,86.4,1,0,37,0,0
6,Jordi Alba,DEF,Barcelona,13.3,1,1.8,-0.8,15,1031,1186,86.9,22,52,42.3,893,976,91.5,116,158,73.4,1,1,80,17,8
7,Raúl Albiol,DEF,Villarreal,23.0,0,0.3,-0.3,4,964,1126,85.6,2,8,25.0,459,506,90.7,503,612,82.2,1,0,61,5,1
8,Paco Alcácer,FWD,Villarreal,2.5,1,0.1,+0.9,1,42,63,66.7,2,6,33.3,37,49,75.5,3,8,37.5,0,0,0,0,0
9,Rubén Alcaraz,MID,Valladolid,11.0,1,0.4,+0.6,6,471,589,80.0,9,22,40.9,324,363,89.3,138,204,67.6,2,8,49,3,0
10,Álex Alegría,FWD,Mallorca,1.1,0,0.0,0.0,0,23,35,65.7,2,3,66.7,18,28,64.3,3,4,75.0,0,0,1,0,0
11,Carles Aleñá,MID,Betis,4.5,0,0.1,-0.1,2,155,183,84.7,5,12,41.7,103,116,88.8,47,55,85.5,0,0,22,2,0
12,Carles Aleñá,MID,Barcelona,1.9,0,0.0,0.0,0,143,156,91.7,3,6,50.0,106,109,97.2,34,41,82.9,1,4,18,1,0
13,Sergio Álvarez,GK,Celta Vigo,2.0,0,0.0,0.0,0,39,53,73.6,0,0,0,22,22,100.0,17,31,54.8,0,0,0,0,0
14,Sergio Álvarez,MID,Eibar,7.1,0,0.2,-0.2,4,178,235,75.7,0,5,0.0,127,151,84.1,51,79,64.6,0,0,28,1,1
15,Yeray Álvarez,DEF,Athletic Bilbao,22.0,0,0.5,-0.5,3,831,1014,82.0,8,16,50.0,531,588,90.3,292,410,71.2,1,0,59,7,3
16,Amath,MID,Getafe,0.4,0,0.0,0.0,0,4,6,66.7,0,1,0.0,4,5,80.0,0,0,0,0,0,0,0,0
17,Miguel Ángel Guerrero,FWD,Leganés,0.7,0,0.0,0.0,1,10,13,76.9,1,1,100.0,9,11,81.8,0,1,0.0,0,0,0,0,0
18,Miguel Ángel Moyá,GK,Real Sociedad,7.0,0,0.0,0.0,0,216,274,78.8,1,1,100.0,112,112,100.0,103,161,64.0,0,0,1,0,0
19,José Ángel,DEF,Eibar,16.4,1,2.2,-1.2,22,618,912,67.8,11,33,33.3,412,494,83.4,195,385,50.6,2,1,70,28,18
20,Antoñito,DEF,Valladolid,5.8,0,0.8,-0.8,5,153,217,70.5,2,9,22.2,124,148,83.8,27,60,45.0,1,0,15,3,0
21,Vitorino Antunes,MID,Getafe,0.1,0,0.0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0
22,Anuar,MID,Valladolid,2.0,0,0.0,0.0,0,86,101,85.1,2,3,66.7,67,77,87.0,17,21,81.0,0,1,6,1,0
23,Mauro Arambarri,MID,Getafe,22.0,1,1.0,0.0,3,406,599,67.8,16,35,45.7,269,374,71.9,121,190,63.7,1,2,60,9,0
24,Néstor Araujo,DEF,Celta Vigo,21.2,1,0.0,+1.0,0,880,1005,87.6,6,16,37.5,577,626,92.2,297,363,81.8,0,0,28,0,0
25,Ronald Araújo,DEF,Barcelona,0.1,0,0.0,0.0,0,1,1,100.0,0,0,0,0,0,0,1,1,100.0,0,0,0,0,0
26,Anaitz Arbilla,DEF,Eibar,15.2,0,0.0,0.0,1,570,744,76.6,4,21,19.0,308,356,86.5,258,367,70.3,0,0,71,4,1
27,Alphonse Areola,GK,Real Madrid,3.0,0,0.0,0.0,0,80,96,83.3,1,1,100.0,46,46,100.0,33,49,67.3,0,0,0,0,0
28,Santiago Arias,DEF,Atlético Madrid,6.1,1,0.5,+0.5,7,232,298,77.9,5,12,41.7,201,228,88.2,26,58,44.8,0,0,8,4,1
29,José Arnaiz,FWD,Osasuna,0.9,0,0.1,-0.1,2,22,24,91.7,1,3,33.3,19,19,100.0,2,2,100.0,0,0,1,0,0
30,José Arnaiz,MID,Leganés,3.6,0,0.6,-0.6,7,73,97,75.3,4,8,50.0,56,68,82.4,13,21,61.9,1,3,2,4,3
31,Sergio Asenjo,GK,Villarreal,21.0,0,0.0,0.0,0,443,625,70.9,1,1,100.0,221,223,99.1,221,401,55.1,1,0,6,0,0
32,Iago Aspas,FWD,Celta Vigo,24.0,2,2.6,-0.6,34,695,865,80.3,36,71,50.7,555,660,84.1,104,134,77.6,3,3,46,28,1
33,Roger Assalé,FWD,Leganés,0.4,0,0.0,0.0,0,7,8,87.5,0,0,0,7,7,100.0,0,1,0.0,0,0,1,0,0
34,Miguel Atienza,MID,Eibar,0.3,0,0.0,0.0,0,8,11,72.7,0,1,0.0,6,6,100.0,2,4,50.0,0,0,0,0,0
35,Ezequiel Ávila,FWD,Osasuna,17.7,2,2.7,-0.7,21,186,323,57.6,3,21,14.3,139,222,62.6,44,80,55.0,2,0,22,12,3
36,Javier Avilés,MID,Leganés,0.1,0,0.0,0.0,0,4,9,44.4,0,2,0.0,4,7,57.1,0,0,0,0,0,1,0,0
37,Chidozie Awaziem,DEF,Leganés,13.7,0,0.1,-0.1,2,341,442,77.1,11,22,50.0,222,248,89.5,108,172,62.8,0,0,28,3,1
38,Ramon Azeez,MID,Granada,9.4,0,0.2,-0.2,3,176,222,79.3,4,12,33.3,149,181,82.3,23,29,79.3,0,0,18,2,0
39,Iddrisu Baba,MID,Mallorca,20.6,0,0.1,-0.1,5,666,807,82.5,13,31,41.9,505,582,86.8,148,194,76.3,1,0,66,5,1
40,Carlos Bacca,FWD,Villarreal,4.7,0,0.1,-0.1,2,58,78,74.4,0,4,0.0,49,61,80.3,9,13,69.2,0,0,2,1,0
41,Gareth Bale,FWD,Real Madrid,11.0,2,1.4,+0.6,11,329,443,74.3,5,16,31.3,273,319,85.6,51,108,47.2,2,0,18,12,7
42,Mikel Balenziaga,DEF,Athletic Bilbao,3.0,0,0.0,0.0,0,101,135,74.8,1,4,25.0,83,101,82.2,17,30,56.7,0,0,3,2,0
43,Éver Banega,MID,Sevilla,19.6,6,3.9,+2.1,44,1339,1615,82.9,15,44,34.1,913,1013,90.1,411,558,73.7,9,82,180,23,5
44,Federico Barba,DEF,Valladolid,5.0,0,0.1,-0.1,2,146,218,67.0,1,8,12.5,116,145,80.0,29,65,44.6,0,0,20,2,1
45,Enis Bardhi,MID,Levante,13.1,2,0.8,+1.2,12,336,473,71.0,20,45,44.4,266,324,82.1,50,104,48.1,2,22,38,8,2
46,Antonio Barragán,DEF,Betis,4.6,1,0.6,+0.4,5,216,263,82.1,3,7,42.9,179,197,90.9,34,59,57.6,1,0,15,7,1
47,Ander Barrenetxea,MID,Real Sociedad,1.5,0,0.3,-0.3,6,52,69,75.4,2,5,40.0,44,50,88.0,6,14,42.9,1,0,4,2,0
48,Marc Bartra,DEF,Betis,19.9,1,0.7,+0.3,3,924,1073,86.1,18,27,66.7,611,660,92.6,295,386,76.4,4,0,48,4,0
