Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,CrdY,CrdR,2CrdY,FoulsCommitted,FoulsDrawn,Offsides,Crosses,SuccessfulTackles,Interceptions,PKwon,PKcon,OG,SuccessfulDribbles,AttemptedDribbles,SuccessfulDribbles%,PlayersDribbledPast,Nutmegs,DribblersTackled,DribblesContested,%DribblersTackled,DribbledPastByOpponent
1,Yunis Abdelhamid,ma MAR,DEF,Reims,31,1987,26.0,3,0,0,17,4,0,23.5,0.65,0.15,0.18,0.75,1.3,1.3,0.08,+1.7,+1.7,0,0.2,-0.2,2,1244,1420,87.6,8,21,38.1,790,858,92.1,446,541,82.4,943,385,71,1,0,3,45,3,0,0,0,0,21,20,0,0,36,40,0,1,0,21,25,84.0,21,0,59,72,81.9,13
2,Mehdi Abeid,dz ALG,MID,Nantes,26,1992,18.6,1,0,0,30,6,3,20.0,1.61,0.32,0.03,0.17,1.6,1.6,0.05,-0.6,-0.6,2,1.4,+0.6,25,740,887,83.4,6,21,28.6,582,631,92.2,152,235,64.7,101,727,40,1,47,4,77,6,4,4,0,0,53,42,1,62,39,21,0,1,0,12,21,57.1,12,0,56,91,61.5,35
3,Charles Abi,fr FRA,FWD,Saint-Étienne,19,2000,6.2,0,0,0,4,0,0,0.0,0.64,0.00,0.00,0,0.2,0.2,0.04,-0.2,-0.2,0,1.0,-1.0,5,70,123,56.9,9,21,42.9,55,90,61.1,6,12,50.0,74,16,0,1,0,0,5,2,0,0,0,0,14,9,7,2,7,3,1,0,0,15,20,75.0,15,0,9,17,52.9,8
4,Amine Adli,fr FRA,MID,Toulouse,19,2000,0.3,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.1,-0.1,2,17,21,81.0,0,0,0,16,18,88.9,1,3,33.3,16,2,0,0,3,1,3,1,0,1,0,0,1,0,0,3,0,1,0,0,0,3,4,75.0,3,0,0,1,0.0,1
5,Yacine Adli,fr FRA,MID,Bordeaux,19,2000,10.4,3,0,0,17,6,1,35.3,1.63,0.58,0.18,0.50,0.8,0.8,0.05,+2.2,+2.2,3,2.0,+1.0,17,443,552,80.3,3,12,25.0,348,402,86.6,92,138,66.7,59,472,18,1,16,3,46,8,0,3,0,0,12,17,0,34,14,7,0,0,0,21,39,53.8,24,3,23,43,53.5,20
6,Nayef Aguerd,ma MAR,DEF,Dijon,23,1996,8.6,0,0,0,3,0,0,0.0,0.35,0.00,0.00,0,0.4,0.4,0.13,-0.4,-0.4,0,0.0,0.0,0,400,473,84.6,1,8,12.5,236,247,95.5,163,218,74.8,393,52,12,0,0,3,15,0,0,2,0,0,11,5,0,1,9,15,0,0,0,0,1,0.0,0,0,12,18,66.7,6
7,Ruben Aguilar,fr FRA,DEF,Monaco,26,1993,10.8,0,0,0,6,3,0,50.0,0.55,0.28,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,2,1.4,+0.6,13,615,728,84.5,11,26,42.3,508,551,92.2,96,151,63.6,14,590,9,0,0,98,36,13,6,2,2,0,9,19,0,56,26,10,0,0,0,14,23,60.9,15,0,36,44,81.8,8
8,Jean-Eudes Aholou,ci CIV,MID,Saint-Étienne,25,1994,6.3,1,0,0,8,2,0,25.0,1.26,0.32,0.13,0.50,0.5,0.5,0.06,+0.5,+0.5,1,0.1,+0.9,3,245,289,84.8,5,9,55.6,184,207,88.9,56,73,76.7,234,37,6,0,0,1,15,0,0,3,1,0,11,13,1,2,18,16,0,0,0,9,11,81.8,10,0,20,27,74.1,7
9,Youssef Aït Bennasser,ma MAR,MID,Bordeaux,23,1996,5.2,0,0,0,2,0,0,0.0,0.38,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0,1,0.1,+0.9,4,334,382,87.4,1,9,11.1,277,301,92.0,56,72,77.8,57,307,5,1,1,0,26,3,0,1,0,0,7,3,0,2,7,5,0,0,0,5,11,45.5,6,0,9,30,30.0,21
10,Rayan Aït Nouri,fr FRA,DEF,Angers,18,2001,14.3,0,0,0,4,0,0,0.0,0.28,0.00,0.00,0,0.2,0.2,0.05,-0.2,-0.2,2,0.9,+1.1,12,625,801,78.0,4,28,14.3,529,602,87.9,92,171,53.8,554,72,7,1,3,142,36,18,12,3,0,0,11,12,0,43,18,20,0,0,0,19,41,46.3,22,2,32,50,64.0,18
11,Ludovic Ajorque,re REU,FWD,Strasbourg,25,1994,22.2,8,1,1,43,18,0,41.9,1.93,0.81,0.16,0.39,6.4,5.6,0.13,+1.6,+1.4,4,3.0,+1.0,14,355,484,73.3,12,26,46.2,295,384,76.8,48,74,64.9,241,106,0,2,0,3,14,12,4,3,0,0,35,21,4,11,13,3,1,1,0,13,26,50.0,14,1,17,33,51.5,16
12,Marley Aké,fr FRA,FWD,Marseille,18,2001,1.0,0,0,0,3,0,0,0.0,3.00,0.00,0.00,0,0.2,0.2,0.05,-0.2,-0.2,0,0.0,0.0,0,25,29,86.2,1,1,100.0,20,23,87.0,4,5,80.0,2,27,0,0,0,0,1,1,0,1,0,0,3,3,0,1,2,1,0,0,0,3,4,75.0,3,0,4,5,80.0,1
13,Chadrac Akolo,cd COD,FWD,Amiens,24,1995,5.7,2,0,0,9,4,0,44.4,1.59,0.71,0.22,0.50,1.1,1.1,0.13,+0.9,+0.9,1,1.2,-0.2,5,166,198,83.8,6,11,54.5,141,161,87.6,19,26,73.1,13,174,2,0,1,1,14,2,0,1,0,0,9,8,2,5,13,5,0,0,0,10,18,55.6,11,0,17,31,54.8,14
14,Sofiane Alakouch,fr FRA,DEF,Nîmes,21,1998,15.6,0,0,0,10,4,0,40.0,0.64,0.26,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,0,1.3,-1.3,13,664,811,81.9,5,28,17.9,546,615,88.8,113,168,67.3,45,545,14,1,0,184,48,8,4,3,0,0,14,26,2,29,29,21,0,1,1,19,33,57.6,19,2,48,73,65.8,25
15,Haitam Aleesami,no NOR,DEF,Amiens,28,1991,19.3,1,0,0,2,1,0,50.0,0.10,0.05,0.50,1.00,0.1,0.1,0.07,+0.9,+0.9,1,1.2,-0.2,12,812,1043,77.9,12,32,37.5,679,795,85.4,121,216,56.0,676,112,19,0,3,188,63,10,5,4,0,0,24,9,1,38,24,32,0,0,0,17,29,58.6,20,2,39,65,60.0,26
16,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,8.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.1,-0.1,2,187,264,70.8,1,1,100.0,97,98,99.0,89,165,53.9,22,187,21,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,2,0.0,2
17,Rachid Alioui,ma MAR,FWD,Angers,27,1992,17.0,6,0,0,58,21,11,36.2,3.41,1.23,0.10,0.29,5.8,5.8,0.10,+0.2,+0.2,1,1.3,-0.3,18,336,456,73.7,13,32,40.6,286,370,77.3,37,54,68.5,94,295,3,1,1,2,22,6,0,1,0,0,24,33,5,15,10,3,0,0,0,23,28,82.1,24,1,12,21,57.1,9
18,Mickaël Alphonse,GPE,DEF,Dijon,30,1989,14.3,0,0,0,7,0,0,0.0,0.49,0.00,0.00,0,0.2,0.2,0.03,-0.2,-0.2,1,0.4,+0.6,8,475,681,69.8,4,25,16.0,352,424,83.0,119,232,51.3,70,420,7,0,1,150,30,7,2,2,0,0,14,11,1,30,18,13,0,0,1,17,26,65.4,20,3,40,55,72.7,15
19,Romain Amalfitano,fr FRA,MID,Dijon,29,1989,18.4,1,0,0,9,1,0,11.1,0.49,0.05,0.11,1.00,0.2,0.2,0.03,+0.8,+0.8,1,0.8,+0.2,8,678,859,78.9,11,30,36.7,478,551,86.8,189,278,68.0,70,738,9,1,5,8,79,12,1,5,0,0,26,42,0,20,22,35,0,0,0,27,41,65.9,29,0,42,84,50.0,42
20,Jordan Amavi,fr FRA,DEF,Marseille,25,1994,23.0,1,0,0,14,4,0,28.6,0.61,0.17,0.07,0.25,0.6,0.6,0.04,+0.4,+0.4,1,1.2,-0.2,14,950,1178,80.6,19,48,39.6,760,874,87.0,171,256,66.8,617,274,12,1,0,198,45,15,7,8,0,0,39,19,1,28,27,53,0,0,0,28,54,51.9,32,0,59,94,62.8,35
21,Thierry Ambrose,fr FRA,FWD,Metz,22,1997,5.0,0,0,0,20,4,0,20.0,4.03,0.81,0.00,0.00,1.3,1.3,0.07,-1.3,-1.3,0,0.3,-0.3,7,116,158,73.4,3,10,30.0,92,113,81.4,21,35,60.0,31,104,1,0,0,0,15,4,1,1,0,0,3,8,0,13,3,2,0,0,0,19,34,55.9,22,1,5,11,45.5,6
22,Kelvin Amian,fr FRA,DEF,Toulouse,21,1998,18.1,0,0,0,8,3,0,37.5,0.44,0.17,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6,2,0.5,+1.5,3,551,669,82.4,14,31,45.2,444,484,91.7,93,154,60.4,53,465,19,1,0,124,36,8,2,3,0,0,23,8,0,12,15,19,0,1,0,8,18,44.4,9,1,27,41,65.9,14
23,Joachim Andersen,dk DEN,DEF,Lyon,23,1996,16.0,1,0,0,10,1,0,10.0,0.62,0.06,0.10,1.00,0.9,0.9,0.09,+0.1,+0.1,0,0.2,-0.2,4,1133,1240,91.4,4,8,50.0,693,733,94.5,436,499,87.4,162,1001,25,0,0,1,56,3,1,3,0,0,16,3,0,1,8,6,0,1,0,2,2,100.0,2,0,15,27,55.6,12
24,Benjamin André,fr FRA,MID,Lille,28,1990,20.8,1,0,0,14,2,0,14.3,0.67,0.10,0.07,0.50,0.8,0.8,0.06,+0.2,+0.2,1,0.9,+0.1,12,916,1152,79.5,27,62,43.5,703,836,84.1,186,254,73.2,146,880,20,0,0,1,89,4,2,6,0,0,51,35,0,9,59,57,0,0,0,23,27,85.2,25,0,78,137,56.9,59
25,Victorien Angban,ci CIV,MID,Metz,22,1996,11.2,0,0,0,4,0,0,0.0,0.36,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,0,0.1,-0.1,3,543,615,88.3,11,18,61.1,419,454,92.3,113,143,79.0,96,486,22,0,1,1,43,2,0,0,0,0,19,25,0,3,16,5,0,0,0,18,21,85.7,18,0,25,41,61.0,16
26,Houssem Aouar,fr FRA,MID,Lyon,21,1998,20.2,3,0,0,43,17,2,39.5,2.13,0.84,0.07,0.18,3.9,3.9,0.09,-0.9,-0.9,4,3.0,+1.0,26,837,988,84.7,7,35,20.0,681,757,90.0,149,196,76.0,91,860,13,6,10,4,98,20,0,3,0,0,24,37,2,20,15,13,0,0,0,60,96,62.5,67,5,22,46,47.8,24
27,Adil Aouchiche,fr FRA,MID,Paris S-G,17,2002,0.7,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,24,31,77.4,0,2,0.0,21,23,91.3,3,6,50.0,7,24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,3,100.0,3,0,2,4,50.0,2
28,Dennis Appiah,fr FRA,DEF,Nantes,27,1992,15.8,0,0,0,1,0,0,0.0,0.06,0.00,0.00,0,0.0,0.0,0.04,0.0,0.0,0,0.2,-0.2,7,640,831,77.0,5,31,16.1,568,663,85.7,67,137,48.9,75,532,12,0,0,163,35,2,1,2,0,0,26,7,0,25,30,19,0,0,0,19,25,76.0,19,0,59,83,71.1,24
29,Luiz Araújo,br BRA,FWD,Lille,23,1996,8.9,2,0,0,24,11,0,45.8,2.70,1.24,0.08,0.18,1.4,1.4,0.06,+0.6,+0.6,1,1.7,-0.7,11,213,295,72.2,11,25,44.0,165,213,77.5,37,57,64.9,224,43,7,1,7,6,13,11,2,1,0,0,13,23,0,28,8,4,1,0,0,26,38,68.4,27,2,16,39,41.0,23
